feature,importance
Surface reelle bati,0.1170145832440734
Code postal,0.10601449748588407
Nombre de lots,0.07711161511163
Type local_Local industriel. commercial ou assimilé,0.06939077213707485
Date mutation_03/07/2020,0.05633193678845186
Code type local,0.04141690030048601
Nombre pieces principales,0.02368572925175232
Date mutation_28/09/2020,0.01696879552038875
Type de voie_BD,0.016354775104715457
Nature mutation_Echange,0.016274241724728418
Type de voie_RUE,0.008944334497330876
Date mutation_23/10/2020,0.008615395883520737
1er lot_39,0.007122799103450331
Date mutation_25/11/2020,0.007007972309082444
Nature mutation_Vente en l'état futur d'achèvement,0.0068552963467830704
1er lot_23,0.006365652730344092
Date mutation_23/07/2020,0.005771190220952434
Date mutation_18/12/2020,0.005589113290173928
Date mutation_13/11/2020,0.0055663745963023875
1er lot_82,0.005489135538012642
Nature mutation_Vente,0.005425182527588913
Date mutation_01/10/2020,0.0053544263176361784
1er lot_11,0.005266092886678669
1er lot_26,0.004970853847173698
1er lot_93,0.004340998403787611
1er lot_116,0.004196992319967894
Date mutation_10/07/2020,0.004113077352410094
1er lot_21,0.004083088917478086
Date mutation_21/07/2020,0.004003739128149408
1er lot_35,0.0038401299642451736
1er lot_65,0.003832326361978447
1er lot_86,0.0037106591183344536
1er lot_17,0.0036138813220275776
1er lot_89,0.0033529839515918877
1er lot_94,0.003345648619371044
1er lot_115,0.0032910672995867104
Date mutation_28/10/2020,0.0032790947835193945
1er lot_445,0.00324499383078305
1er lot_259,0.0032389636721571412
1er lot_54,0.003205727950486216
1er lot_19,0.0031409387870035277
1er lot_1320,0.0030887882768352243
Date mutation_03/11/2020,0.003058296569559273
Date mutation_16/07/2020,0.0030426098380894793
1er lot_10,0.003039465233544422
Date mutation_22/12/2020,0.0030163821561044013
1er lot_609,0.0029835989420892604
1er lot_20,0.002925618961508626
1er lot_292,0.0029172823114440066
1er lot_179,0.0028784927519722495
1er lot_47,0.002818399170389977
1er lot_298,0.0028040757559809593
Date mutation_05/08/2020,0.0027580740431709335
Date mutation_30/12/2020,0.002743884838663546
Date mutation_10/09/2020,0.0027327026188469633
Date mutation_13/10/2020,0.002731838480930507
1er lot_198,0.002624929896348371
Date mutation_21/12/2020,0.002621851338530183
1er lot_80,0.002606194702061874
1er lot_1402,0.0025836463725998435
1er lot_62,0.002565351704008696
1er lot_162,0.0025322136659320232
1er lot_327,0.00251596826934481
Date mutation_16/12/2020,0.00250092365116083
1er lot_58,0.0024858053950889024
1er lot_16,0.0024724652748419344
1er lot_1762,0.002456797367622898
1er lot_170,0.002416194736363984
Date mutation_30/09/2020,0.0024008112559368946
Type de voie_AV,0.002284746343856839
1er lot_51,0.0022722007718272708
Date mutation_23/12/2020,0.0022228420336113624
1er lot_44,0.002199118646221469
1er lot_2,0.00217854617893992
1er lot_12,0.002174032213618621
1er lot_114,0.002168030938568553
Date mutation_24/09/2020,0.0021665070301489977
Date mutation_08/09/2020,0.0020885277754180164
Date mutation_31/07/2020,0.002071035286596755
1er lot_61,0.0020703072020468024
Date mutation_24/08/2020,0.002068084189988892
1er lot_223,0.0020401206734346196
Date mutation_27/07/2020,0.0019536504583988696
1er lot_130,0.0019528001751488995
1er lot_32,0.0019141986027413724
Date mutation_03/10/2020,0.0019047093521187518
1er lot_1,0.001903636210907227
Date mutation_23/11/2020,0.0018937945317865623
Date mutation_20/10/2020,0.0018888927792203363
1er lot_154,0.0018869985143829728
Date mutation_27/08/2020,0.0018843502527546812
1er lot_648,0.001883448564218107
1er lot_517,0.0018474876320467017
1er lot_128,0.0018474619912537149
Date mutation_29/09/2020,0.0018406970793164118
1er lot_2632,0.0018215879830798234
Date mutation_16/11/2020,0.001807787537110756
1er lot_164,0.0018000351449453786
Date mutation_02/12/2020,0.0017835124243119195
Date mutation_28/08/2020,0.0017605419718021613
1er lot_60,0.0017488242128264016
Date mutation_22/07/2020,0.0016980879271711463
1er lot_79,0.0016911675604693065
1er lot_158,0.001688292259216583
1er lot_142,0.0016312043414227503
Date mutation_08/12/2020,0.0016186949485833238
Date mutation_20/07/2020,0.0016151556887173076
Date mutation_20/11/2020,0.0016099165728710976
Date mutation_17/07/2020,0.0016041397759587344
1er lot_69,0.0016029417838648455
1er lot_50,0.0015921131175726075
Date mutation_19/11/2020,0.0015898111737471317
1er lot_38,0.0015693653517858432
1er lot_18,0.0015684912073249842
1er lot_9,0.0015640297700543337
Date mutation_05/11/2020,0.0015498441345803426
1er lot_155,0.0015306219436366157
Date mutation_29/12/2020,0.0015285329138644904
Date mutation_10/11/2020,0.0015186919780683897
Date mutation_14/12/2020,0.0015105816295361697
1er lot_25,0.0014977461943210435
Date mutation_05/10/2020,0.001482430384744274
Date mutation_10/08/2020,0.0014803221543277412
Date mutation_20/08/2020,0.0014776455640112907
Date mutation_26/10/2020,0.001447508519139797
Date mutation_29/07/2020,0.0014415912408047822
Date mutation_16/10/2020,0.0014407676485162833
1er lot_256,0.0014221832195323383
1er lot_651,0.0014127609384200206
Date mutation_26/11/2020,0.0013957030168021997
1er lot_22,0.0013660842236071476
1er lot_34,0.00136542998963793
1er lot_29,0.0013632129025771614
Date mutation_15/10/2020,0.0013379714544743278
1er lot_14,0.0013307719317684626
1er lot_168,0.0013166390986397033
1er lot_66,0.0012866084698360386
1er lot_99,0.0012863482408323461
1er lot_105,0.001269304885243194
1er lot_113,0.0012659605503694772
1er lot_24,0.001241502863453342
Date mutation_08/10/2020,0.0012354087064244091
1er lot_3,0.0012279895838901405
1er lot_84,0.0012123662451828808
Date mutation_09/10/2020,0.001211781621945475
1er lot_122,0.001210456300495362
Type de voie_IMP,0.0011942417519628012
Date mutation_15/12/2020,0.001188826027178024
Date mutation_03/12/2020,0.0011655670877489363
Date mutation_24/12/2020,0.0011524544313231296
Date mutation_08/07/2020,0.0011496796154702683
1er lot_1654,0.0011374497432637793
1er lot_27,0.0011372021571953818
1er lot_216,0.00112987068328863
1er lot_126,0.0011129130646867298
1er lot_48,0.0010758488816584723
Date mutation_07/08/2020,0.0010688738078581403
Date mutation_25/09/2020,0.0010595298766593107
Date mutation_11/09/2020,0.0010456982176844365
Type de voie_SQ,0.00103821937137538
Date mutation_22/10/2020,0.0010311584153017803
1er lot_46,0.0010137062587714022
1er lot_182,0.001000230901581582
Nature mutation_Adjudication,0.0009981604745730806
1er lot_172,0.0009826581967386668
1er lot_15,0.0009705352193729794
1er lot_96,0.0009600085287263944
Date mutation_12/10/2020,0.0009521724027518334
year,0.0009369575631510612
1er lot_52,0.0009336877585015121
1er lot_67,0.0009280337730911434
1er lot_169,0.0009069313704412758
1er lot_234,0.000901170347840892
Date mutation_17/09/2020,0.0008988269659667482
1er lot_213,0.0008952551677917706
1er lot_102,0.0008599287982078305
1er lot_5009,0.0008443183524749577
Date mutation_30/07/2020,0.0008413041663299421
1er lot_49,0.0008245179912115957
Type de voie_PAS,0.0008234025087829896
1er lot_13,0.0008208802262830003
1er lot_127,0.0008198779136588114
Date mutation_07/12/2020,0.0008091948632754248
1er lot_73,0.0007967048752215936
Date mutation_09/11/2020,0.0007944526893283575
1er lot_68,0.000781563261038219
Date mutation_18/11/2020,0.0007710664617390444
1er lot_53,0.0007649081428807862
1er lot_1259,0.0007635722267406083
Type de voie_CRS,0.0007547652993790786
Date mutation_29/08/2020,0.0007541319954401269
Date mutation_02/11/2020,0.0007531060744896755
1er lot_190,0.0007493307426525066
Date mutation_28/12/2020,0.0007347808844513689
Type de voie_PL,0.0007314170296420498
1er lot_302,0.0007282051989356128
Date mutation_30/11/2020,0.0007146283376573176
Date mutation_16/09/2020,0.0007004875823636353
1er lot_301,0.0006842422610082205
Date mutation_29/10/2020,0.0006840022923601042
Date mutation_30/10/2020,0.0006795505895935814
Date mutation_07/07/2020,0.0006794339680733161
Date mutation_15/09/2020,0.0006779952979037038
1er lot_108,0.0006759656902323239
1er lot_40,0.0006720943154841244
1er lot_152,0.0006693672851248742
1er lot_6,0.0006660223610660167
1er lot_85,0.0006607446927475779
Date mutation_18/09/2020,0.0006571019233276655
1er lot_815,0.0006340464519968687
Date mutation_04/12/2020,0.0006331286292578112
Date mutation_04/09/2020,0.000628658772302836
1er lot_125,0.0006275792516934396
1er lot_76,0.0006112086156886099
1er lot_193,0.0006028902099029804
1er lot_345,0.0005967717587735189
1er lot_7,0.0005956494053607754
1er lot_100,0.0005917209542254004
Date mutation_09/12/2020,0.0005896641984496412
Date mutation_06/10/2020,0.000586222229638731
1er lot_290,0.0005812062971116723
Date mutation_25/08/2020,0.0005751629425360587
1er lot_139,0.0005710098470187481
Type de voie_QUAI,0.0005601366971408348
1er lot_135,0.000557108072400532
1er lot_111,0.0005553475923048697
Date mutation_31/08/2020,0.0005429364084930398
Date mutation_07/09/2020,0.0005286384871909687
1er lot_72,0.0005272832691158321
Date mutation_01/07/2020,0.0005264487344708567
Date mutation_15/07/2020,0.0005166597442925794
1er lot_602,0.0005158404382749704
1er lot_74,0.0005137278786808446
Date mutation_01/12/2020,0.0005094561737019693
1er lot_103,0.0005062647564768758
1er lot_151,0.0004952012888383595
Date mutation_06/11/2020,0.0004944059763686222
1er lot_208,0.0004940120497724473
1er lot_31,0.0004796020728936293
1er lot_2634,0.00047766787298988343
1er lot_33,0.0004757251763677637
Date mutation_12/08/2020,0.00047412539038128805
Date mutation_24/07/2020,0.0004737711468741778
1er lot_118,0.00046961577496158665
1er lot_144,0.0004662419507424607
1er lot_4,0.0004634826001872387
Date mutation_17/11/2020,0.000461337829192272
1er lot_573,0.00046022537000007743
1er lot_363,0.0004469222976118137
1er lot_203,0.00044523662282112676
Date mutation_10/12/2020,0.000443405973531252
1er lot_71,0.0004370884797265766
1er lot_335,0.0004298607508979225
1er lot_37,0.0004258383160831208
1er lot_333,0.00041807168821120455
1er lot_338,0.000417343936324874
Type de voie_CITE,0.000407306100243238
Date mutation_01/09/2020,0.00040573790066243063
1er lot_28,0.0004057033093034757
1er lot_147,0.00040404180182505183
Date mutation_02/07/2020,0.00039393454707686094
1er lot_323,0.0003897135928784957
1er lot_469,0.0003834751411808633
Date mutation_27/10/2020,0.0003823611805547793
Type local_Maison,0.0003775010966150702
Date mutation_24/11/2020,0.00037091101622276806
1er lot_43,0.0003707019232323785
Date mutation_02/09/2020,0.0003683863834690024
1er lot_316,0.0003677421315388247
1er lot_615,0.00036599019126790864
1er lot_276,0.0003624465755702581
Date mutation_21/09/2020,0.00035566090075633713
1er lot_3026,0.00035448375987586834
1er lot_473,0.0003523606089078586
1er lot_209,0.00034529629394148143
Date mutation_11/12/2020,0.00034454402891463437
1er lot_230,0.0003442083000578634
1er lot_106,0.00034276932142145367
Date mutation_09/07/2020,0.00034156260095880427
1er lot_140,0.00034083313096346893
1er lot_87,0.00033395135257887633
1er lot_417,0.0003336353892655344
Date mutation_06/07/2020,0.0003318462501511533
Date mutation_14/09/2020,0.0003138326228442136
Date mutation_28/07/2020,0.0003134849836601445
1er lot_41,0.00030399493288958663
Date mutation_07/10/2020,0.0003024245347094996
1er lot_5,0.0002815257755399162
Date mutation_04/08/2020,0.00027798039294610425
1er lot_63,0.00027069771232676883
1er lot_656,0.0002628453808691725
1er lot_432,0.000257368188856462
Date mutation_17/12/2020,0.0002551512850178957
Date mutation_17/08/2020,0.00023520557336978657
1er lot_36,0.0002350742269168723
Date mutation_12/11/2020,0.0002341762573196961
1er lot_101,0.00023290617839425885
Date mutation_02/10/2020,0.00022358528355709574
1er lot_360,0.0002230066829199019
1er lot_218,0.00021885833329583329
1er lot_150,0.00021725542301665558
1er lot_129,0.00021593534028373015
1er lot_672,0.0002012498071614605
Date mutation_22/09/2020,0.0001980292413471118
1er lot_56,0.00019582136176303825
1er lot_215,0.0001955250351684366
Date mutation_23/09/2020,0.000194918488739037
1er lot_243,0.00018594193159074854
1er lot_153,0.00018422151188256418
1er lot_81,0.0001776638966102755
Type de voie_VLA,0.00017492334951365338
1er lot_467,0.00017103602467503
Date mutation_04/11/2020,0.00016316687555481435
1er lot_124,0.00015954548030852863
1er lot_308,0.00015697332710943427
1er lot_321,0.00015595778422625978
1er lot_137,0.00015491660058227023
Date mutation_11/08/2020,0.00015280796843132336
1er lot_75,0.00015146134592750583
Date mutation_26/08/2020,0.00014882599823128385
Date mutation_14/08/2020,0.00014773242826548124
1er lot_8010,0.00014699128904092934
1er lot_420,0.00014368348719809992
1er lot_133,0.00014276998841434145
Type local_Appartement,0.0001391694251105728
1er lot_59,0.0001326518502556852
1er lot_91,0.000131685832477059
Date mutation_14/10/2020,0.00013162668659294987
Date mutation_09/09/2020,0.00012868636535584484
Date mutation_19/10/2020,0.00012521126216229563
1er lot_819,0.00011900482866357365
1er lot_8,0.00011692327698998664
1er lot_55,0.0001156963820590303
1er lot_104,0.00011191814359022853
Date mutation_27/11/2020,0.00011074067636800506
1er lot_117,0.00011071725947470086
1er lot_2685,0.00010931644232882608
1er lot_110,0.00010900251448990802
1er lot_30,0.0001073090248521706
1er lot_189,0.00010322428494020293
Date mutation_03/09/2020,0.00010288114610566799
1er lot_197,0.0001011143626148178
1er lot_1143,9.89669110312807e-05
1er lot_194,9.662149234654721e-05
1er lot_107,9.620351017925948e-05
1er lot_5188,9.177262947555354e-05
1er lot_123,8.680834168188386e-05
Date mutation_21/08/2020,8.578594513960261e-05
1er lot_148,8.307295470062325e-05
1er lot_799,8.071160584125881e-05
Date mutation_21/10/2020,7.976635334441892e-05
1er lot_88,7.910604711188609e-05
1er lot_204,7.437859453970313e-05
1er lot_220,7.125197852334497e-05
1er lot_145,6.797516554792746e-05
1er lot_57,6.540025147600342e-05
Date mutation_13/07/2020,6.532087942380958e-05
1er lot_136,6.191153767223449e-05
1er lot_2324,6.020351083243276e-05
Date mutation_03/08/2020,5.9938429094518416e-05
Date mutation_26/09/2020,5.931893134434452e-05
1er lot_211,5.861221269176617e-05
1er lot_382,5.779646407042173e-05
1er lot_1685,5.709848223867603e-05
1er lot_157,5.391331847618954e-05
1er lot_401,5.2429894918917375e-05
1er lot_1683,5.126807895689358e-05
1er lot_42,5.02276043306836e-05
1er lot_146,4.9591502465435924e-05
1er lot_888,4.8524553370542604e-05
1er lot_149,4.492957538719252e-05
1er lot_138,4.469394850025368e-05
1er lot_560,4.4465906398962635e-05
1er lot_1406,4.4429289863892855e-05
1er lot_1093,4.4406976429705355e-05
Date mutation_31/12/2020,4.4119817434628784e-05
Date mutation_06/08/2020,4.382903067586401e-05
1er lot_742,4.320994093926937e-05
1er lot_229,4.30983966309234e-05
1er lot_281,4.307059807132034e-05
1er lot_1524,4.226349961784943e-05
1er lot_45,4.097904150035923e-05
1er lot_163,4.0639953724251844e-05
1er lot_239,3.9530896910636e-05
1er lot_311,3.9245387190991855e-05
1er lot_4077,3.843378732678728e-05
Date mutation_19/08/2020,3.78955775957274e-05
1er lot_132,3.7881472569420186e-05
Type de voie_ALL,3.7747632261082536e-05
1er lot_188,3.757801988449411e-05
1er lot_509,3.6964728225437906e-05
1er lot_232,3.675165759050533e-05
1er lot_1039,3.23474794957808e-05
Date mutation_14/11/2020,3.1323699910042695e-05
1er lot_324,3.0307008982862617e-05
1er lot_252,2.8449390399889355e-05
1er lot_244,2.8316440765345542e-05
1er lot_709,2.809400170420815e-05
Type de voie_VC,2.683369285033038e-05
1er lot_1078,2.6100496570996447e-05
1er lot_236,2.488093980895518e-05
1er lot_195,2.429086000778402e-05
1er lot_568,2.3790156659722867e-05
1er lot_714,2.376451698869914e-05
1er lot_431,2.3259531914587428e-05
1er lot_894,2.3225899470113228e-05
1er lot_180,2.186739579681312e-05
Date mutation_08/08/2020,2.1690852852565968e-05
1er lot_1036,2.0523462397671012e-05
1er lot_320,2.0201785822381133e-05
1er lot_1061,1.8840159029981315e-05
1er lot_186,1.808873524174387e-05
Date mutation_12/09/2020,1.7613345850910538e-05
1er lot_95,1.748163057679918e-05
1er lot_119,1.67932809899411e-05
1er lot_1205,1.6419657348490314e-05
1er lot_265,1.6323224080277025e-05
1er lot_143,1.6089725343564046e-05
1er lot_368,1.6043744053844906e-05
1er lot_245,1.592583645810979e-05
Date mutation_31/10/2020,1.4803271021292525e-05
1er lot_617,1.3559036893161491e-05
1er lot_1106,1.3490137939891432e-05
1er lot_121,1.3340677538412408e-05
1er lot_773,1.3019385792236116e-05
1er lot_70,1.2379642431625199e-05
1er lot_409,1.1785645314486751e-05
1er lot_201,1.1613495518934597e-05
1er lot_78,1.1610774447861178e-05
1er lot_1134,1.1575751609334314e-05
1er lot_90,1.1274848678340719e-05
1er lot_2023,1.126448470239658e-05
1er lot_2047,1.0493959052235418e-05
1er lot_1291,1.034693974577241e-05
1er lot_251,1.0303730260246143e-05
1er lot_1144,9.901686223721875e-06
1er lot_1159,9.816444281730612e-06
